id,question,context
1,alloc crate 的主要设计目标是什么,"alloc 为 #![no_std] 环境提供堆分配能力，包含 Box、Vec、Arc 等智能指针与集合，内容由 std 重新导出。"
2,Box<T> 的所有权语义如何,"Box 是单所有者堆智能指针，大小等于一个指针，可跨线程移动，常用于构建树形结构。"
3,Rc 与 Arc 的核心差异,"Rc 仅用于单线程共享，Arc 通过原子引用计数实现线程安全，二者 API 一致但 Arc 要求 T: Send + Sync。"
4,core::panic::PanicInfo 入参包含哪些字段,"PanicInfo 携带 panic 位置、消息与 Payload，用户通过 #[panic_handler] 函数接收并处理。"
5,proc_macro crate 的 quote! 宏作用,"quote! 将手写 Rust 代码片段转换为 TokenStream，方便在过程宏中生成新代码。"
6,std::collections::HashMap 与 BTreeMap 选型差异,"HashMap 平均 O(1) 查询但无序，BTreeMap 保持键有序且支持范围查询，权衡速度 vs 顺序。"
7,test::black_box 为何能防止编译器优化,"black_box 将参数标记为“不透明副作用”，强制编译器假设其值会被使用，避免常量折叠与死码消除。"
8,Vec<T> 的底层内存布局,"Vec 由 ptr+cap+len 组成，ptr 指向堆上连续 T，保证与 slice [T] 布局兼容。"
9,core 库为何完全不依赖堆,"core 定位为平台无关的底层基础，不负责分配、I/O、并发，仅提供语言原语与内存工具，因此链接 0 个系统库。"
10,Arc<Mutex<T>> 常见使用模式,"先 Arc::new(Mutex::new(val)) 共享所有权，再 clone Arc 给多线程，lock() 后获得 MutexGuard 进行互斥访问。"
11,alloc::format! 与 core::format_args! 关系,"format! 在 alloc 中基于 format_args! 生成 String，core 只生成 fmt::Arguments，不分配堆内存。"
12,std::thread::spawn 对闭包的 Send 约束,"spawn 要求闭包 F: Send + 'static，确保捕获变量可跨线程传递且生命周期贯穿线程运行期。"
13,proc_macro::TokenTree 的三种变体,"TokenTree 可以是 Group（括号包裹）、Ident（标识符）、Punct（标点）、Literal（字面量）四种。"
14,core::mem::size_of 在 const fn 中的稳定性,"1.32 起 size_of 成为 const fn，可在编译期计算大小，用于静态数组或 const 泛型约束。"
15,#[global_allocator] 与 alloc 模块交互,"global_allocator 将用户自定义分配器注册为 alloc 全局代理，Box/Vec 等默认使用该实例。"
16,std::env::args() 与 args_os() 差异,"args() 返回 UTF-8 String 迭代器，args_os() 返回 OsString，避免非法 Unicode 导致 panic。"
17,test crate 为何仅限 nightly,"test 提供 Bencher 与内部运行时挂钩，接口未稳定，因此 stable 通道无法引入。"
18,Cell<T> 的 UnsafeCell 内部实现,"Cell 包裹 UnsafeCell，通过禁用 &T 共享引用实现内部可变性，仅适用于 Copy 类型。"
19,alloc::collections::BTreeSet 的底层数据结构,"基于 B-Tree 实现，节点保存有序键切片，支持二分查找与范围迭代。"
20,core::arch 模块用途,"提供平台相关 SIMD 内联函数，如 x86::_mm_add_ps，需在 unsafe 块中调用。"
21,std::fs::read_to_string 一次读取策略,"内部调用 read_to_end 把文件全部读入 Vec<u8>，再经 UTF-8 验证后转为 String，适合小文件。"
22,quote!(#(#vec),*) 中的重复语法,"#( ... ),* 为 quote 重复插值，vec 迭代元素按逗号连接展开，常用于生成变长参数列表。"
23,Arc::downgrade 产生的 Weak 引用行为,"Weak 不增加强引用计数，upgrade() 返回 Option<Arc>，可检测对象是否已被释放。"
24,core::slice::from_raw_parts 的安全前提,"指针必须非 null、对齐且覆盖 len 个合法 T，违反则产生 UB，常与 C 接口交互。"
25,std::process::Command 搜索可执行文件顺序,"先在当前目录查找，再按 PATH 环境变量顺序搜索，与平台 shell 一致。"
26,alloc::vec! 宏与 Vec::new 性能差异,"vec![x; n] 预分配容量并一次性写入，比重复 push 减少重分配，适合已知长度场景。"
27,std::backtrace::Backtrace 捕获时机,"Backtrace::capture() 在调用点立即遍历栈帧，支持符号化，需启用 RUST_BACKTRACE=1 查看。"
28,core::cmp::Reverse 作用,"Reverse 包装任意 Ord 类型，反转 compare 结果，常用于最大堆或逆序排序。"
29,proc_macro::Literal 如何保持 span 信息,"Literal 携带 Span，错误时可定位到宏展开位置，调试器与编译器诊断据此高亮。"
30,std::time::SystemTime 与 Instant 区别,"SystemTime 可回退且跨系统重启，Instant 仅保证单调递增，适合测量耗时。"
31,alloc::String::from_utf8_unchecked 安全责任,"调用者须保证 Vec<u8> 为合法 UTF-8，否则产生未定义行为，常用于已知有效的解析路径。"
32,core::panic::panic! 与 std::panic! 差异,"core 版仅接收 fmt 参数，std 版可捕获 Backtrace 并调用用户钩子，功能更丰富。"
33,std::collections::VecDeque 环形缓冲区实现,"使用双指针 head/tail 与掩码实现环形索引，保证 O(1) 头尾插入与弹出。"
34,test::Bencher::iter 测量方式,"iter 接收闭包并执行多次，自动计算迭代次数与耗时，结果以 ns/iter 输出。"
35,Box<[T]> 与 Vec<T> 内存占用对比,"Box<[T]> 无容量字段，仅 ptr+len，不可增长，比 Vec 节省一个 usize，适合只读快照。"
36,core::str::from_utf8 错误类型,"返回 Result<&str, Utf8Error>，Utf8Error 携带无效字节位置与长度，便于精确报错。"
37,std::net::TcpStream::set_nodelay 作用,"禁用 Nagle 算法，降低小包延迟，适用于实时游戏或交互式协议。"
